002534-NASDAQ     04/28/1999
ARSC    04/25/1999 29.57 
ARSC    04/26/1999 28.60
ARSC    04/27/1999 27.33
ARSC    04/28/1999 29.80
ARSC    05/01/1999 31.78
ARSC    05/02/1999 30.33
ARSC    05/03/1999 32.50
BBIC    04/25/1999 23.57 
BBIC    04/26/1999 28.60
BBIC    04/27/1999 27.33
BBIC    04/28/1999 29.80
BBIC    05/01/1999 25.78
BBIC    05/02/1999 26.33
BBIC    05/03/1999 24.50
FRSC    04/25/1999 29.57 
FRSC    04/26/1999 28.60
FRSC    04/27/1999 27.33
FRSC    04/28/1999 29.80
FRSC    05/01/1999 31.78
FRSC    05/02/1999 30.33
FRSC    05/03/1999 32.50
FBIC    04/25/1999 23.57 
FBIC    04/26/1999 28.60
FBIC    04/27/1999 27.33
COMP    04/28/1999 29.80
COMP    05/01/1999 25.78
COMP    05/02/1999 26.33
COMP    05/03/1999 24.50
COMP    04/25/1999 29.57 
STEC    04/26/1999 28.60
STEC    04/27/1999 27.33
STEC    04/28/1999 29.80
STEC    05/01/1999 31.78
STEC    05/02/1999 30.33
PLUS    04/25/1999 23.57 
PLUS    04/26/1999 28.60
PLUS    04/27/1999 27.33
PLUS    04/28/1999 29.80
PLUS    05/01/1999 25.78
PLUS    05/02/1999 26.33
PLUS    05/03/1999 24.50






